sentence,processed_text,sentiment,token_count,original_length,processed_length
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",according gran company plans move production russia although company growing,neutral,10,127,76
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter 2010 componenta net sales doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m,positive,19,193,124
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",third quarter 2010 net sales increased 52 eur 2055 mn operating profit 349 eur 235 mn,positive,16,125,85
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 net sales,positive,16,122,94
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 net sales,positive,14,103,78
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum reports operating profit increased eur 205 mn 2005 eur 93 mn 2004 net sales totaled eur 1033 mn eur 964 mn,positive,23,163,123
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain seppl sales increased eur 1552 mn operating profit rose eur 311 mn eur 171 mn 2004,positive,19,143,104
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sales increased 16 reach eur74 operating profit amounted eur0 compared loss eur0 prior year period,positive,17,163,115
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundries division reports sales increased 97 eur 631 mn eur 575 mn corresponding period 2006 sales machine shop division increased 164 eur 412 mn eur 354 mn corresponding period 2006,positive,30,254,183
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx shares closed higher led nokia announced plans team sanyo manufacture 3g handsets nokian tyres fourthquarter earnings report beat analysts expectations dealers said,positive,24,237,177
